,city_num,city,country,date,humidity,cloudiness,lat,long,maxtemp,windspeed
269,293,Punta Gorda,US,1619458420,30,1,26.9298,-82.0454,304.26,2.57
270,294,Labuhan,ID,1619458619,83,22,-6.8844,112.2051,298.71,3.19
271,295,Horizontina,BR,1619458620,41,0,-27.6258,-54.3078,296.48,2.63
272,296,Pundaguitan,PH,1619458620,76,78,6.3711,126.1689,300.16,2.58
273,297,Linhares,BR,1619458498,48,51,-19.3911,-40.0722,304.72,2.75
275,299,Daru,PG,1619458622,88,100,-9.0763,143.2092,298.11,1.34
276,300,Tumsar,IN,1619458622,12,91,21.3833,79.7333,305.39,2.13
277,301,Nagato,JP,1619458623,82,0,34.3833,131.2,285.15,1.54
278,303,Meulaboh,ID,1619458581,88,100,4.1363,96.1285,298.45,1.99
281,306,Tessalit,ML,1619458624,5,32,20.1986,1.0114,310.97,0.5
282,307,Minador do Negrão,BR,1619458625,60,92,-9.3053,-36.8647,301.61,5.32
283,308,Khonsa,IN,1619458625,31,45,27.0167,95.5667,294.39,2.24
285,310,Suruç,TR,1619458626,34,0,36.9761,38.425,293.15,8.23
286,311,Salto,UY,1619458594,56,75,-31.3833,-57.9667,294.26,3.09
288,313,Mattawa,US,1619458393,54,1,46.7379,-119.9028,287.59,4.63
289,314,Birobidzhan,RU,1619458628,39,57,48.8,132.95,280.22,0.53
290,315,Örnsköldsvik,SE,1619458628,64,0,63.2909,18.7153,275.15,3.09
291,316,Vostok,RU,1619458629,56,18,46.4856,135.8833,273.28,2.23
292,317,Piaçabuçu,BR,1619458629,68,95,-10.4056,-36.4344,301.73,3.85
293,318,Sakakah,SA,1619458630,8,40,29.9697,40.2064,307.15,12.86
294,319,Jämsä,FI,1619458630,87,90,61.8642,25.19,275.15,4.63
295,320,Ergani,TR,1619458631,30,0,38.2653,39.7621,295.15,4.12
297,322,Marabella,TT,1619458631,58,40,10.3062,-61.4467,305.37,6.17
298,324,Harrisburg,US,1619458552,26,1,40.2737,-76.8844,287.59,4.63
299,325,Lodwar,KE,1619458632,63,99,3.1191,35.5973,300.18,9.68
300,326,Wana,PK,1619458633,28,18,32.2989,69.5725,295.53,3.18
301,327,Kashgar,CN,1619458633,17,0,39.4547,75.9797,291.15,6.0
302,328,Serra,BR,1619458634,62,20,-20.1286,-40.3078,304.15,5.14
303,329,Goderich,CA,1619458564,60,75,43.7501,-81.7165,276.15,3.09
305,331,Port Lincoln,AU,1619458635,79,0,-34.7333,135.8667,289.1,3.28
306,332,Henderson,US,1619458460,38,90,36.0397,-114.9819,288.15,5.66
308,334,Prieska,ZA,1619458636,21,99,-29.6641,22.7474,296.15,4.36
309,335,Hoquiam,US,1619458637,81,90,46.9809,-123.8893,284.82,2.57
310,337,Mariinskiy Posad,RU,1619458637,45,0,56.115,47.718,279.15,5.0
311,338,Tarn Taran,IN,1619458638,47,20,31.45,74.9253,302.15,3.03
312,339,Cabo San Lucas,MX,1619458598,33,40,22.8909,-109.9124,299.82,4.7
313,340,Poum,NC,1619458638,73,12,-20.2333,164.0167,297.11,9.65
315,342,Aklavik,CA,1619458451,67,88,68.2191,-135.0107,261.15,4.63
316,343,Morondava,MG,1619458640,79,86,-20.2833,44.2833,299.75,5.22
317,344,Martapura,ID,1619458640,89,40,-3.4167,114.85,299.15,1.54
319,346,Norman Wells,CA,1619458641,48,75,65.282,-126.8329,262.15,2.57
320,347,Teeli,RU,1619458642,43,96,51.0333,90.2333,276.14,1.89
321,348,Porbandar,IN,1619458642,74,0,21.6422,69.6093,300.98,5.09
323,351,Gillette,US,1619458643,71,90,44.2911,-105.5022,284.26,3.6
324,352,Coquimbo,CL,1619458643,77,90,-29.9533,-71.3436,289.15,2.57
326,355,Camacha,PT,1619458644,68,40,33.0833,-16.3333,293.15,7.2
327,356,Boundiali,CI,1619458645,67,86,9.5217,-6.4869,299.56,2.06
328,357,Vila Franca do Campo,PT,1619458645,77,40,37.7167,-25.4333,290.15,6.17
330,359,Fortuna Foothills,US,1619458646,37,1,32.6578,-114.4119,293.15,5.66
331,360,Upata,VE,1619458647,33,94,8.0086,-62.3989,306.94,2.65
332,361,Srandakan,ID,1619458647,86,9,-7.9386,110.2506,297.6,2.06
333,362,Ati,TD,1619458648,12,73,13.2154,18.3353,308.97,3.31
334,363,Tadine,NC,1619458648,79,61,-21.55,167.8833,295.53,8.39
336,366,Mocajuba,BR,1619458649,71,100,-2.5842,-49.5072,302.13,0.63
337,367,Dawlatabad,AF,1619458650,19,0,36.4141,64.9053,297.97,1.74
338,368,Lompoc,US,1619458444,62,3,34.6391,-120.4579,287.59,4.12
339,369,Yerbogachën,RU,1619458650,81,42,61.2767,108.0108,264.52,3.73
340,370,Omboué,GA,1619458651,82,95,-1.5746,9.2618,300.31,2.83
341,371,Shelburne,CA,1619458651,25,61,44.0787,-80.2041,281.48,2.0
342,372,Asău,RO,1619458652,50,68,46.4333,26.4,279.26,0.82
343,373,Arlit,NE,1619458652,7,98,18.7369,7.3853,311.13,5.01
344,374,Mikhaylovka,RU,1619458504,77,100,50.06,43.2379,280.93,3.13
